artifact_stem,trajectory_file,episode_stats_file,replay_dir,config_file,trajectory_policy,use_generated,generated_csv,day_list_csv,n_trajectories,n_charging_stations,seed_start,tag
PST_V2G_ProfixMax_25_mixed_bau_25_25_2_smoke_graphv1,./trajectories/PST_V2G_ProfixMax_25_mixed_bau_25_25_2_smoke_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_25_mixed_bau_25_25_2_smoke_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_25.yaml,mixed_bau_25,False,,,2,25,42,smoke_graphv1
PST_V2G_ProfixMax_25_optimal_25_500_graphv1,./trajectories/PST_V2G_ProfixMax_25_optimal_25_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_25_optimal_25_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_25.yaml,optimal,True,,,500,25,42,graphv1
PST_V2G_ProfixMax_25_optimal_25_500_graphv1,./trajectories/PST_V2G_ProfixMax_25_optimal_25_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_25_optimal_25_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_25.yaml,optimal,True,,,500,25,42,graphv1
PST_V2G_ProfixMax_60_optimal_25_500_graphv1,./trajectories/PST_V2G_ProfixMax_60_optimal_25_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_60_optimal_25_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_60.yaml,optimal,True,,,500,25,42,graphv1
PST_V2G_ProfixMax_100_optimal_25_500_graphv1,./trajectories/PST_V2G_ProfixMax_100_optimal_25_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_100_optimal_25_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_100.yaml,optimal,True,,,500,25,42,graphv1
PST_V2G_ProfixMax_60_optimal_60_500_graphv1,./trajectories/PST_V2G_ProfixMax_60_optimal_60_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_60_optimal_60_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_60.yaml,optimal,True,,,500,60,42,graphv1
PST_V2G_ProfixMax_100_optimal_100_500_graphv1,./trajectories/PST_V2G_ProfixMax_100_optimal_100_500_graphv1.pkl.gz,./trajectories/PST_V2G_ProfixMax_100_optimal_100_500_graphv1.episode_stats.csv,,./config_files/PST_V2G_ProfixMax_100.yaml,optimal,True,,,500,100,42,graphv1
