day_id,day_of_week,is_weekend,price_level_raw,price_duration_raw,price_ramp_raw,load_level_raw,load_duration_raw,load_ramp_raw,lambda_level_raw,lambda_duration_raw,lambda_ramp_raw,joint_raw,price_level_pct,price_ramp_pct,price_duration_pct,load_level_pct,load_ramp_pct,load_duration_pct,lambda_level_pct,lambda_ramp_pct,lambda_duration_pct,joint_pct,price_stress,load_stress,lambda_stress,stress_unscaled,stress_score
17,3,0,1.6402321815490724,0.09375,1.8883204460144043,3.392628240585327,0.17708333333333334,1.5710960626602173,1.879148006439209,0.15625,1.7580924034118652,0.06041666666666667,0.42424242424242425,0.8787878787878788,0.5757575757575758,0.9090909090909091,0.30303030303030304,0.696969696969697,0.45454545454545453,0.7575757575757576,0.6666666666666666,0.6363636363636364,0.5757575757575758,0.7045454545454546,0.5833333333333333,0.6310606060606061,0.6060606060606061
18,4,0,2.875480031967163,0.28125,1.4813331365585327,3.4220555782318116,0.25,1.5865613222122192,2.7692151069641113,0.19791666666666666,1.858870029449463,0.125,0.7575757575757576,0.30303030303030304,0.7878787878787878,0.9393939393939394,0.36363636363636365,0.9090909090909091,0.6666666666666666,0.8484848484848485,0.7272727272727273,0.7878787878787878,0.6515151515151515,0.787878787878788,0.7272727272727273,0.7310606060606061,0.8181818181818182
19,5,1,5.216322898864746,0.34375,2.045266628265381,2.118723487854004,0.1875,1.6979572772979736,3.5319435596466064,0.3020833333333333,2.2614946365356445,0.17916666666666664,1.0,1.0,0.9393939393939394,0.45454545454545453,0.6060606060606061,0.7272727272727273,0.8484848484848485,0.9696969696969697,0.8484848484848485,0.8787878787878788,0.9848484848484849,0.5606060606060606,0.8787878787878789,0.8045454545454545,0.8787878787878788
20,6,1,2.767347431182861,0.20833333333333334,1.7546699047088623,2.038278865814209,0.17708333333333334,1.8216239213943481,3.455236625671387,0.10416666666666667,1.6346073150634766,0.08645833333333333,0.7272727272727273,0.7575757575757576,0.696969696969697,0.3939393939393939,0.7575757575757576,0.696969696969697,0.7878787878787878,0.6060606060606061,0.45454545454545453,0.6666666666666666,0.7272727272727273,0.5606060606060606,0.6590909090909091,0.649621212121212,0.6666666666666666
21,0,0,1.4124398231506348,0.052083333333333336,1.400520920753479,2.1467124223709106,0.19791666666666666,1.7323129177093506,1.7568417549133302,0.09375,1.8743817806243896,0.036458333333333336,0.30303030303030304,0.09090909090909091,0.30303030303030304,0.5151515151515151,0.6363636363636364,0.7272727272727273,0.36363636363636365,0.9090909090909091,0.36363636363636365,0.48484848484848486,0.25,0.5984848484848484,0.5,0.4446969696969696,0.45454545454545453
22,1,0,0.5632927179336548,0.020833333333333332,1.582958459854126,1.798580551147461,0.07291666666666667,1.6517335176467896,1.139085292816162,0.03125,1.778141975402832,0.0,0.030303030303030304,0.5151515151515151,0.030303030303030304,0.2727272727272727,0.48484848484848486,0.21212121212121213,0.24242424242424243,0.7878787878787878,0.21212121212121213,0.09090909090909091,0.1515151515151515,0.3106060606060606,0.3712121212121212,0.23106060606060605,0.15151515151515152
23,2,0,3.568087100982666,0.4895833333333333,1.9788898229599,3.00270037651062,0.34375,1.491877555847168,3.175627613067627,0.4270833333333333,2.4091544151306152,0.31458333333333327,0.9090909090909091,0.9393939393939394,0.9393939393939394,0.7575757575757576,0.18181818181818182,0.9696969696969697,0.7272727272727273,1.0,0.9393939393939394,0.9696969696969697,0.9242424242424243,0.6666666666666667,0.8484848484848485,0.8295454545454546,0.9393939393939394
24,3,0,2.738984203338623,0.2604166666666667,1.5096535682678223,2.581839942932129,0.19791666666666666,1.855194330215454,2.5571529388427736,0.15625,1.8251949548721313,0.10104166666666665,0.696969696969697,0.3939393939393939,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.5757575757575758,0.8181818181818182,0.6666666666666666,0.696969696969697,0.6287878787878789,0.7045454545454546,0.6590909090909091,0.6700757575757577,0.6666666666666666
25,4,0,3.4827862739562985,0.2916666666666667,1.6516754627227783,2.3524062633514404,0.125,1.5709686279296875,5.206141376495362,0.28125,1.607689619064331,0.14791666666666664,0.8787878787878788,0.6060606060606061,0.8787878787878788,0.6363636363636364,0.2727272727272727,0.5454545454545454,0.9393939393939394,0.45454545454545453,0.8484848484848485,0.8181818181818182,0.8106060606060607,0.5227272727272727,0.7954545454545455,0.7087121212121211,0.7878787878787878
26,5,1,0.8957557439804077,0.020833333333333332,1.562530517578125,2.1166027545928956,0.09375,1.8887463808059692,0.8400721788406372,0.020833333333333332,1.4314846992492676,0.014583333333333332,0.12121212121212122,0.45454545454545453,0.030303030303030304,0.42424242424242425,0.8484848484848485,0.36363636363636365,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.12121212121212122,0.18181818181818182,0.5151515151515151,0.06818181818181818,0.27234848484848484,0.18181818181818182
